PDGid,WP,year,period,ptmin,ptmax,etamin,etamax,SF,SFerr
11,MVA90,2018,X,100,200,0,0.8,0.98274,0.0116121
11,MVA90,2018,X,100,200,0.8,1.444,0.986928,0.0207525
11,MVA90,2018,X,100,200,1.444,1.566,1,1
11,MVA90,2018,X,100,200,1.566,2,0.977083,0.0114828
11,MVA90,2018,X,100,200,2,2.5,0.965142,0.0251767
11,MVA90,2018,X,200,500,-2.5,-2,0.970588,0.0933371
11,MVA90,2018,X,200,500,-2,-1.566,0.990239,0.0439303
11,MVA90,2018,X,200,500,-1.566,-1.444,1,1
11,MVA90,2018,X,200,500,-1.444,-0.8,0.969432,0.0298259
11,MVA90,2018,X,200,500,-0.8,0,0.991407,0.0359958
11,MVA90,2018,X,200,500,0,0.8,0.94856,0.0354499
11,MVA90,2018,X,200,500,0.8,1.444,0.959913,0.0285261
11,MVA90,2018,X,200,500,1.444,1.566,1,1
11,MVA90,2018,X,200,500,1.566,2,0.941117,0.0394753
11,MVA90,2018,X,200,500,2,2.5,0.976325,0.087475
PDGid,WP,year,period,ptmin,ptmax,etamin,etamax,SF,SFerr
13,mediumID,2016,BCDEF,20,25,-2.4,-2.3,0.996756,0.0148979
13,mediumID,2016,BCDEF,20,25,-2.3,-2.2,0.959421,0.0121467
13,mediumID,2016,BCDEF,20,25,-2.2,-2.1,0.891206,0.0114647
13,mediumID,2016,BCDEF,20,25,-2.1,-2,0.95715,0.00976103
13,mediumID,2016,BCDEF,20,25,-2,-1.7,0.972081,0.0058932
13,mediumID,2016,BCDEF,20,25,-1.7,-1.6,0.991543,0.00887052
13,mediumID,2016,BCDEF,20,25,-1.6,-1.5,1.00074,0.0056917
13,mediumID,2016,BCDEF,20,25,-1.5,-1.4,0.993338,0.0132307
13,mediumID,2016,BCDEF,20,25,-1.4,-1.2,1.00923,0.00935557
13,mediumID,2016,BCDEF,20,25,-1.2,-0.8,1.00578,0.00822354
13,mediumID,2016,BCDEF,20,25,-0.8,-0.5,1.00358,0.00210562
13,mediumID,2016,BCDEF,20,25,-0.5,-0.3,1.00528,0.0144651
13,mediumID,2016,BCDEF,20,25,-0.3,-0.2,0.993477,0.0160727
13,mediumID,2016,BCDEF,20,25,-0.2,0,0.971132,0.0186775
13,mediumID,2016,BCDEF,20,25,0,0.2,1.00028,0.0174314
13,mediumID,2016,BCDEF,20,25,0.2,0.3,0.976287,0.0132917
13,mediumID,2016,BCDEF,20,25,0.3,0.5,1.00764,0.00777724
13,mediumID,2016,BCDEF,20,25,0.5,0.8,1.00389,0.00385266
13,mediumID,2016,BCDEF,20,25,0.8,1.2,1.00506,0.00622305
13,mediumID,2016,BCDEF,20,25,1.2,1.4,1.00569,0.00702872
13,mediumID,2016,BCDEF,20,25,1.4,1.5,1.00351,0.00914422
13,mediumID,2016,BCDEF,20,25,1.5,1.6,1.00381,0.00990501
13,mediumID,2016,BCDEF,20,25,1.6,1.7,0.999993,0.0112534
13,mediumID,2016,BCDEF,20,25,1.7,2,0.982107,0.00934954
13,mediumID,2016,BCDEF,20,25,2,2.1,0.954619,0.0108316
13,mediumID,2016,BCDEF,20,25,2.1,2.2,0.895487,0.0132376
13,mediumID,2016,BCDEF,20,25,2.2,2.3,0.973784,0.0144914
13,mediumID,2016,BCDEF,20,25,2.3,2.4,0.999758,0.0113561
13,mediumID,2016,BCDEF,25,30,-2.4,-2.3,0.988275,0.00777848
13,mediumID,2016,BCDEF,25,30,-2.3,-2.2,0.96418,0.0086176
13,mediumID,2016,BCDEF,25,30,-2.2,-2.1,0.888914,0.00659374
13,mediumID,2016,BCDEF,25,30,-2.1,-2,0.948175,0.00978616
13,mediumID,2016,BCDEF,25,30,-2,-1.7,0.976694,0.00591174
13,mediumID,2016,BCDEF,25,30,-1.7,-1.6,0.993763,0.00667462
13,mediumID,2016,BCDEF,25,30,-1.6,-1.5,0.993696,0.00448829
13,mediumID,2016,BCDEF,25,30,-1.5,-1.4,0.993585,0.00991503
13,mediumID,2016,BCDEF,25,30,-1.4,-1.2,0.99075,0.00377805
13,mediumID,2016,BCDEF,25,30,-1.2,-0.8,0.996985,0.00806713
13,mediumID,2016,BCDEF,25,30,-0.8,-0.5,1.00233,0.00557858
13,mediumID,2016,BCDEF,25,30,-0.5,-0.3,0.994589,0.0107077
13,mediumID,2016,BCDEF,25,30,-0.3,-0.2,0.992638,0.0143713
13,mediumID,2016,BCDEF,25,30,-0.2,0,0.990465,0.0134305
13,mediumID,2016,BCDEF,25,30,0,0.2,0.991644,0.015207
13,mediumID,2016,BCDEF,25,30,0.2,0.3,0.994061,0.0161826
13,mediumID,2016,BCDEF,25,30,0.3,0.5,1.00243,0.0126198
13,mediumID,2016,BCDEF,25,30,0.5,0.8,1.00562,0.00597726
13,mediumID,2016,BCDEF,25,30,0.8,1.2,0.995761,0.00502293
13,mediumID,2016,BCDEF,25,30,1.2,1.4,1.00195,0.00571922
13,mediumID,2016,BCDEF,25,30,1.4,1.5,1.00287,0.00439411
13,mediumID,2016,BCDEF,25,30,1.5,1.6,1.00106,0.00419404
13,mediumID,2016,BCDEF,25,30,1.6,1.7,1.00092,0.00683335
13,mediumID,2016,BCDEF,25,30,1.7,2,0.979772,0.0061678
13,mediumID,2016,BCDEF,25,30,2,2.1,0.953134,0.0109785
13,mediumID,2016,BCDEF,25,30,2.1,2.2,0.890111,0.0099185
13,mediumID,2016,BCDEF,25,30,2.2,2.3,0.959493,0.00782136
13,mediumID,2016,BCDEF,25,30,2.3,2.4,0.97903,0.0066657
13,mediumID,2016,BCDEF,30,40,-2.4,-2.3,0.986242,0.00766569
13,mediumID,2016,BCDEF,30,40,-2.3,-2.2,0.960535,0.00776161
13,mediumID,2016,BCDEF,30,40,-2.2,-2.1,0.89349,0.00420711
13,mediumID,2016,BCDEF,30,40,-2.1,-2,0.946658,0.00234488
13,mediumID,2016,BCDEF,30,40,-2,-1.7,0.978803,0.00107082
13,mediumID,2016,BCDEF,30,40,-1.7,-1.6,0.994172,0.00813545
13,mediumID,2016,BCDEF,30,40,-1.6,-1.5,0.997803,0.00352095
13,mediumID,2016,BCDEF,30,40,-1.5,-1.4,0.994058,0.00408312
13,mediumID,2016,BCDEF,30,40,-1.4,-1.2,0.997309,0.00368609
13,mediumID,2016,BCDEF,30,40,-1.2,-0.8,0.996439,0.00516094
13,mediumID,2016,BCDEF,30,40,-0.8,-0.5,0.995667,0.00696892
